Content,Date_Posted,Date_Replied,Date_of_Experience,Name,Ratings,Reply,Review,Title
"Absolute Garbage. They will hold your payment for 14 days and possibly more if you aren't in the US.  Guess what they are doing with all that money they are sitting on from these customers..... Must be a good amount of interest paid out to them on your money.  They wont tell you this until after you receive your first payment either.  So in my case, I have to work for free for two weeks before I get the money that was sent with a debit card.  So Stripe literally received the money immediately, but wont let the funds go for my protection. lol.  How are you protecting me by holding money from my customers? So sorry I transferred over to them, now I have to ask my customer that was first to move over to switch back to a legit company.  Oh yeah, by the way, on top of that they take a pretty good chunk of your money from you for their ""Services"" of holding on to thousands of people's money.  Spread the word, they need to get investigated.  Banks can't hold your money for 14 days in the USA.  How can they? *Update* Now I was just hot with another $6 fee that they don't tell you what it is unless you ask. It's marked in their system as if they are paying you, says nothing about what it is, only it's a negative. My favorite part... They don't want to wait 14 days to take that money out.... You know.. for my protection as they say. They won't take it out of the money you have coming, they take their money right away and sit on your money. I can't wait to join the class action suit against them. I hope every DA will go up against this company. Don't expect interest on your money either, while they hold it, they will take a nice chunk of your money and the interest from sitting on it for two weeks. Please contact your State attorney on this shady dual headquarter company from Ireland. They need to be honest. Venmo is free, honest and gets you money immediately. Plus, no fee for the log of what each payment is. There is a reason everybody uses Venmo and Zelle.",2023-04-12T02:19:19.000Z,2023-04-11T00:57:04.000Z,"April 07, 2023",Dave Johnson,Rated 1 out of 5 stars,Hi Dave! Your first payout is typically available 7-14 days after you add your bank account and take your first successful payment on Stripe. This delay allows Stripe to mitigate some of the risks inherent in providing credit services.,4,"Absolute Garbage, Read this first"
UPDATE: Appreciate that the Stripe team replied to this review. This shows that at least they care about their customers. The issue has been resolved now. ,2023-04-17T21:35:12.000Z,2023-04-09T00:08:05.000Z,"April 08, 2023",Naz Ghuk,Rated 3 out of 5 stars,So sorry to hear about your experience—that's definitely not the level of support we aim to provide.,3,They need to improve their Support service
Absolutely the worst service providing company out there.  Will withhold money as if it was there own.  Customer service reps suck with Absolutely no problem solving skills.  WARNING!!!! Don't use Stripe!!!!!,2023-04-08T16:14:40.000Z,2023-04-08T23:23:28.000Z,"April 08, 2023",Jamal Payne,Rated 1 out of 5 stars,"Hey Jamal, so sorry about your negative experiences with Stripe—that's not what we aim for. ",2,Money holding thieves!!!
Fraud just holding money and suspensions of new accounts without any reason when the payout dates comes near they all of sudden close the account and never refund to customers as well,2023-04-08T15:49:17.000Z,2023-04-08T15:58:21.000Z,"April 08, 2023",Mark,Rated 1 out of 5 stars,"Hi Mark, we’re sorry to hear this. Please write to us at heretohelp@stripe.com with ‘Trustpilot’ in the subject line. We’ll be more than happy to look into this for you.",4,Fraud just holding money
This company never reply my mail. Funds held for 6 months and it's been more than 7 months now still haven't received payments and Stripe never reply my mails. I wrote this to scamadviser2 times I'll write everywhere everyday until receive funds  STRIPE SCAMMED ME STRIPE SCAMMED ME,2023-04-07T07:18:08.000Z,2023-04-07T07:43:49.000Z,"September 15, 2022",Jack,Rated 1 out of 5 stars,"Hi Mustafa, we're sorry to hear about this. Could we ask you to send one more mail at heretohelp@stripe.com and we'll take a look from our end.",2,This company never reply my mail
"Utterly appalling customer service. For two years, we have tried to simply update our email address, yet they are incapable of doing so. Asking them to complete the most basic tasks is a waste of time. Avoid at all costs! I have spent over 24 hours on the phone with them plus multiple emails trying to get this sorted.",2023-04-06T11:53:20.000Z,2023-04-06T12:18:59.000Z,"April 29, 2022",WT Fitness,Rated 1 out of 5 stars,"Hi there, we're very sorry to hear about your support experience. Please email us at heretohelp@stripe.com and we'll take a look right away.",2,Utterly appalling customer service
The stripe service is really bad! ! !,2023-04-06T05:54:44.000Z,2023-04-06T06:00:04.000Z,"April 06, 2023",Kumari Anita,Rated 1 out of 5 stars,"We'd like to review your account again to see if we can resolve the issue. Please feel free to send us an email at heretohelp@stripe.com, with your details, and we'll be happy to investigate.",1,The stripe service is really bad
"Stripe is great we love it and it's very versatile for us to both make an receive payments. It's a bit pricy but it's the best service with the cleanest API, no reason to look elsewhere.",2023-04-06T04:13:50.000Z,2023-04-06T05:57:13.000Z,"November 01, 2022",John Davis,Rated 5 out of 5 stars,"Thank you so much for sharing your feedback, John!",4,Stripe is great
Stripe takes over a week to process payments,2023-04-05T15:15:28.000Z,NA,"April 05, 2023",Bernard,Rated 2 out of 5 stars,NA,4,Stripe takes over a week to process…
"I ordered a trading service from a merchant and paid in full through Stripe last December 2022. Until now, I have not received the service from the merchant because Stripe has not forwarded him the payment. Stripe is holding my payment for no reason for the last four months.",2023-04-05T05:06:30.000Z,2023-04-05T05:23:37.000Z,"December 27, 2022",Arnie,Rated 1 out of 5 stars,Hi Arnie! Could you email us the payment confirmation together with the merchant details at heretohelp@stripe.com? Once we have the details we can check if the payment went through. ,5,Stripe did not forwarded the payment
"Well, the service, when works is excellent. The service, when it is able to be customized, is excellent. My recent experience, however, was subpar. I completed work for my independent project and I sit here, unable to access the fruits of my labor. Unable to practice the skills, which I paid for to learn. I feel as though the overall exchange has left me in the red to be frank.",2023-04-05T04:58:17.000Z,2023-04-05T05:11:55.000Z,"March 20, 2023",TOKI,Rated 2 out of 5 stars,"Hi there! It seems we haven't heard back from you on our recent email. If you don't mind, please get back to us there so we can resolve your issue. Thanks!",1,ABLE
Stripe Supports Scammers and Fails Customers.,2023-04-05T03:40:09.000Z,NA,"April 01, 2023",ILIAS,Rated 1 out of 5 stars,NA,8,Stripe Supports Scammers and Fails…
"I have spoken to several team members and they were all great, but I want to specially thank Ace (who I spoken to last). They were absolutely amazing, patient, uplifting and easy to deal with. We were able to figure out what was happening and why I couldn't find the option I needed without a fuss or added stress. ",2023-04-05T01:43:58.000Z,2023-04-05T05:07:52.000Z,"March 28, 2023",Gabby Laverde,Rated 5 out of 5 stars,Hi Gabby! We're really happy that we could help you out and appreciate your kind words. Thanks!,1,Thank you Ace!
Alexa was a huge help. We were needing to add a few things to our website to continue processing.,2023-04-04T21:58:19.000Z,2023-04-05T01:42:58.000Z,"March 24, 2023",Rebecca R,Rated 5 out of 5 stars,"We're very glad we could help you out. Thanks for the kind feedback, Rebecca!",1,Alexa was a huge help
 ,2023-04-04T20:04:51.000Z,2023-04-05T01:41:02.000Z,"April 04, 2023",Christopher M,Rated 5 out of 5 stars,"You're amazing! Thanks, Christopher. ",1,Amazing service
 ,2023-04-04T19:07:04.000Z,2023-04-05T01:38:27.000Z,"April 04, 2023",Maria G,Rated 5 out of 5 stars,Hi Maria! We really appreciate the great feedback!,5,Great communication and quick response.
"All review is due to individual/employee on contact.  Contact was efficient, knowledgeable and friendly.",2023-04-04T17:01:36.000Z,2023-04-05T01:37:12.000Z,"March 28, 2023",Bingmatcutter.com,Rated 5 out of 5 stars,We're very glad to hear that! Thanks for the great feedback. ,1,All review is due to…
Great support and service thanks stripe,2023-04-04T16:53:51.000Z,2023-04-05T01:35:39.000Z,"March 31, 2023",Yosri Hadda,Rated 5 out of 5 stars,"Thank you for the kind words, Yosri!",2,The best
Stipe staff always strive to understand and resolve issues. The answers are thoughtful and transparent. ,2023-04-04T14:38:15.000Z,2023-04-04T14:45:00.000Z,"April 02, 2023",RT,Rated 5 out of 5 stars,Thanks for your kind words! We're thrilled to hear about your positive support experience.,3,Stipe staff always strive to understand…
"The ability to contact support is often hidden between many layers of bureaucracy, with Stripe, this is not the case, within minutes you have them on the phone or on chat.   ",2023-04-04T14:11:38.000Z,2023-04-04T14:31:15.000Z,"April 02, 2023",Richard S,Rated 5 out of 5 stars,"Thanks for your positive feedback, Richard. We aim to provide a seamless support experience at all times, and appreciate your kind words.",1,The ability to contact support is underrated…
They respond to my question rapidly and save my time through a direct link to ease my processing in no time,2023-04-04T07:49:08.000Z,2023-04-04T08:02:26.000Z,"April 02, 2023",Lizy Louiza,Rated 5 out of 5 stars,"Thanks for your kind words, Lizy! We aim to provide a seamless support experience, and appreciate your positive feedback.",2,hey respond to my question rapidly and…
"This company should be taken to court fo all their doings! we opened a stripe account with no problem whatsoever, started charging our customers and days later to our surprise our account was blocked saying its high risk and that they will be refunding all payments, We run a big hotel and the payments are from guests who stayed and checked out and now without our consent and without the guests even asking, stripe has decided to give away our money, this is illegal regardless of what you have in your policy. read your reviews, do your job before promising what you promise on your website, you have dragged us into this and have no right to do this. you are falsely marketing your non existent services!",2023-04-03T18:24:57.000Z,2023-04-04T06:41:26.000Z,"April 03, 2023",Ammar Shaer,Rated 1 out of 5 stars,Hi Ammar—we're sorry to hear that. Please send us an email at heretohelp@stripe.com and we'll take another look.,9,"incompetent, careless team to say the least"
"Please don't do business with Stripe, trust me. After months of successful business with Stripe (before I started selling, I had contacted them to ensure what I am selling is allowed - we sell original artwork), my account has been closed for 'high risk'. Our ruleset was fine, our customers legitimate, our products being shipped immediately. Stripe have, however, decided to steal all of the funds we had inside Stripe - $1,100 which was not paid out to our bank account yet. If you are an independent business, please run away from this provider. They will lure you in for a few months then steal everything they can.",2023-04-04T12:37:10.000Z,2023-04-04T06:43:15.000Z,"April 01, 2023",A. B.,Rated 1 out of 5 stars,"Hi there, we’re sorry to hear this. Please write to us at heretohelp@stripe.com with ‘Trustpilot’ in the subject line. We’ll be more than happy to look into this for you.",2,Thieves - WILL steal all your money
"Just an update from my last review, they refuse to open the account again, even though I have explained everything and I have done absolutely nothing wrong, my intention was never at any point to receive fraudulent transactions.",2023-04-01T22:56:14.000Z,NA,"March 15, 2023",Oliver,Rated 1 out of 5 stars,NA,3,Just an update from my last review
Stripe do nothing to protect you against any customer who claim the item has not been delivered.,2023-04-01T15:39:04.000Z,2023-04-01T15:54:32.000Z,"April 01, 2023",Omega  of Norway,Rated 1 out of 5 stars,"Hey there—we understand that this isn't ideal. However, when it comes to disputes, Stripe can only act as a facilitator. We provide all the information that is requested by the customer's bank, but have no say in the outcome or the process. Again, we appreciate that this isn't ideal, but our scope is limited in the decision of a dispute.",1,Stripe do little to prevent fraud
"This company is horrible, they had my payment on reserve for about months and now they want to continue again. 😂😂 I am definitely not paying back the loan now. You mess with my money I mess with you",2023-04-01T08:31:02.000Z,2023-04-01T08:22:56.000Z,"March 30, 2023",Christian Heals,Rated 1 out of 5 stars,"Hi Christian—We want to review the reserves on your account. Could you please email us at heretohelp@stripe.com using the same email address associated with your account and the subject line ""Trustpilot Review""?",8,Playing with my money and holding it
Stripe have unfair left our company over.,2023-03-31T23:56:02.000Z,2023-04-01T07:17:06.000Z,"March 30, 2023",Petras Zamolskis,Rated 1 out of 5 stars,"Hi Petras—while we're unable to continue supporting your business due to high chargeback risks, your payouts remain enabled and you'll receive your funds when the reserve is expired.",1,Stripe have unfair left our company…
"They will refund money back to customers, EVEN AFTER YOU'VE RELEASED THE PRODUCT, and SHOWN PROOF to them. One chargeback will make Stripe close your account and refund ALL payments, without even giving you the chance to keep the funds on hold (like PayPal). ",2023-03-31T02:14:45.000Z,2023-03-31T08:57:07.000Z,"February 24, 2023",Sam Cin,Rated 1 out of 5 stars,Hey Sam. We'd like to look into your account to assist—please email heretohelp@stripe.com using the same email address associated with your account and we'll investigate further from our end.,1,They will refund money back to…
"In my professional review, I would like to bring to attention a matter of grave concern regarding the conduct of Stripe, a prominent online payment processing service. In my experience, I have encountered multiple instances of arbitrary account suspension without any legitimate cause or justification. This is a serious matter that demands immediate attention.",2023-03-30T22:03:51.000Z,2023-03-30T23:36:41.000Z,"March 30, 2023",Adil Butt,Rated 1 out of 5 stars,"Hey Adil, we appreciate you writing in and flagging this. We understand the frustration here and want to help in any way that we can—please email our escalated support channel at heretohelp@stripe.com. We'll review your account further and follow back up with you to assist.",1,My Professional Review
Terrible to be treated as a criminal by a greedy company!,2023-03-30T12:08:11.000Z,2023-03-30T12:21:35.000Z,"March 30, 2022",Transferwise truth,Rated 1 out of 5 stars,"Apologies for the experience you've had with us so far! Stripe is obliged to collect personal information as part of the ""Know Your Customer"" (KYC) requirements. These requirements come from our regulators and are intended to prevent financial system abuse. We hope this clarifies the information requirements. That being said, we would be happy to look into your account and help with any doubts you may have. Please email us at heretohelp@stripe.com using the same email address associated with your account.",4,Terrible to be treated as a criminal by…
"When I last encountered Stripe about a year and a half ago, I rated them 1 star. This time there were still aggravating moments but they're improving.",2023-03-30T01:06:35.000Z,2023-03-30T02:09:07.000Z,"March 27, 2023",Robert A Harris,Rated 3 out of 5 stars,"Hi Robert! Thank you for your feedback! We apologise for any trouble you've had so far, and please do not hesitate to let us know if there's anything else we can improve. ",4,"Still not stellar, but improving"
"Ease of dealing and simple, but in some matters I need to understand, but in general simple, thank you",2023-03-29T22:39:43.000Z,2023-03-30T02:03:43.000Z,"March 28, 2023",Mazin K,Rated 5 out of 5 stars,"Thank you for the great feedback! If there's anything we can help you with, please do not hesitate to reach out.",1,its very simple thank you
"What a godawful, useless, faceless POS this is. Will not do any more business with any company that insists on using Stripe for payments: I just don't have the time to waste. Feels like the whole system is set up purely to make sure you don't get your money.",2023-03-30T11:49:41.000Z,2023-03-29T16:02:21.000Z,"March 29, 2023",Steve Smith,Rated 1 out of 5 stars,"Hi Steve—We're sorry to hear about the issues you've experienced with our services! We want to offer assistance in any way we can—please email heretohelp@stripe.com using the email address associated with your account, and we'll follow up with you directly.",17,Useless.
 ,2023-03-28T23:47:47.000Z,2023-03-29T06:16:19.000Z,"March 28, 2023",Aaron,Rated 5 out of 5 stars,We're flattered. Thanks for the 5-stars Aaron!,1,Immediate service with clear answers!
I had an issue verifying my legal business entity name and the support team were able to help my account get verified after providing them with the relevant documents.,2023-03-28T23:41:23.000Z,2023-03-29T06:13:56.000Z,"March 28, 2023",Vamsi Krishna Pannala,Rated 5 out of 5 stars,"We're really glad to be able to help you, Vamsi. Thanks for the positive review!",1,Extremely helpful support
I needed to know if my customers order shipped to their address. As I thought  this was an issue for My Success Pros! I all ready knew the financial part had been an success because i got an email saying so. So as I thought i needed to contact My success pros.,2023-03-28T22:41:44.000Z,2023-03-28T23:34:42.000Z,"March 28, 2023",Savingourfuturenowgmail.com,Rated 5 out of 5 stars,"We appreciate the positive review, Susie!",1,Stripe is very easy to reach
"Had some issues with the verification process of my stripe account, which was super confusing, but stripe support helped me all through. Super grateful and look forward to a long term relationship with them",2023-03-28T21:39:54.000Z,2023-03-28T22:37:50.000Z,"March 13, 2023",Samuel O,Rated 5 out of 5 stars,"We appreciate the kind words, Samuel. We look forward to continue helping your business in the future!",1,Had some issues with the verification…
They were so annoying because they had problems with everything for verification,2023-03-28T19:39:40.000Z,2023-03-28T20:39:52.000Z,"March 23, 2023",Person,Rated 1 out of 5 stars,We're sorry to hear about the issues you've experienced thus far with verification! We'd like to offer assistance in any way that we can—please email heretohelp@stripe.com and we'll follow back up with you directly.,1,They were so annoying because they had…
"I was having issue retrieving my 1099 tax form for several months and just can’t figure it out why. All the agents were very helpful, understanding, attentive, patience and tried to walk me through the processes. It was a slightly hiccup which I didn’t know. I can’t have same email address with Stripe and DoorDash account. Once e-mails updated, I was able to retrieve. ",2023-03-28T19:18:40.000Z,2023-03-28T20:38:02.000Z,"March 26, 2023",AmberO,Rated 5 out of 5 stars,We're glad we were able to get this sorted for you! Thanks for the review.,1,I was having issue retrieving my 1099…
"Hello, our company Matchmakers Inc has been processing payments through stripe for years ( 6 Years ), they approved our account years ago. Recently we received an offer for a working capital loan, so we applied for it. Two days after we submitted the application we were notified that stripe no longer allows dating sites, however in their terms its state’s adult dating sites, we are a faith-based/Lgbtqiapd+ dating site. Anyways long story short, after years of using them, and with a dispute rate of less than 1%, they have informed us that they are closing our account. Not only have we spent thousands of dollars integrating stripe into our site/pwa, but more than 80% of our customers also pay through stripe. This is a huge blow to our company. We are a federally trademarked business with over 15 years of dating experience. That is extremely shady to offer us a loan and close our account once we apply. Shame on them. ",2023-03-29T14:56:09.000Z,2023-03-28T20:36:46.000Z,"March 27, 2023",Christopher Alesich,Rated 1 out of 5 stars,"Hey Christopher, thanks for writing in and flagging this. We'd like to look into your account to assist—please email heretohelp@stripe.com and we'll investigate further from our end.",2,Shady Business
Very professional and helpful through out the process.,2023-03-28T18:04:47.000Z,2023-03-28T20:34:21.000Z,"March 24, 2023",Noel C,Rated 5 out of 5 stars,"We're glad we were able to support you! Thanks for the review, Noel.",1,Great service
Their support is great. You can be confident that your questions will be followed as if they are from your company / team.,2023-03-28T20:38:30.000Z,2023-03-28T20:33:22.000Z,"March 28, 2023",Mehmet Kaplan,Rated 5 out of 5 stars,"Thanks for the review, Mehmet!",1,Their support is great.
My Customer Service Rep was very helpful. He fixed a problem which was on my account for several days. His name was Quentin and He deserves a salary raise.,2023-03-28T17:23:42.000Z,2023-03-28T20:32:15.000Z,"March 21, 2023",Rory R,Rated 5 out of 5 stars,"We're thrilled to hear about your positive support experience. Thanks for sharing, Rory!",1,CSR was outstanding
"Working with Stripe Support is an absolute delight! The customer service team is also outstanding; they responded quickly to any questions I had and provided helpful and friendly support. Overall, I'm incredibly impressed with Stripe and I'm so glad I chose them for my payment processing needs. Highly recommend!",2023-03-28T17:20:39.000Z,2023-03-28T20:30:30.000Z,"March 28, 2023",Heidi Liou,Rated 5 out of 5 stars,"We appreciate the kind words, Heidi!",1,5 star support
Helpful agent - pleasant and professional. Listened and got me taken care of.,2023-03-28T16:37:02.000Z,2023-03-28T16:51:15.000Z,"March 27, 2023",Elizabeth Anne Phillips,Rated 5 out of 5 stars,Hi Elizabeth—Thank you for sharing this nice review!,2,Helpful agent
"I recently encountered some issues with my stripe account, I just reached stripe chat and discussed with them and they help me and fixed everything for me with the help of their specialized team.",2023-03-28T16:20:23.000Z,2023-03-28T16:31:29.000Z,"March 27, 2023",Jordan Brown,Rated 5 out of 5 stars,Hi Jordan. We appreciate you very much for sharing your experience and nice words with our community!,1,I recently encountered some issues with my Payouts and Account
No happy no return calls and no happy with disputes,2023-03-28T16:11:33.000Z,2023-03-28T16:24:40.000Z,"March 28, 2023",Ruben R,Rated 1 out of 5 stars,"Hi Ruben. We understand that this isn't ideal. However, when it comes to disputes, Stripe can only act as a facilitator. We provide all the information that is requested by the customer's bank but have no say in the outcome or the process. Again, we appreciate that this isn't ideal, but our scope is limited in the decision of a dispute. You can learn more about disputes here: https://stripe.com/docs/disputes/how-disputes-work.",1,No happy no return calls and no happy…
"Hello,",2023-03-28T16:07:44.000Z,2023-03-28T16:26:38.000Z,"March 26, 2023",Francesco J.,Rated 1 out of 5 stars,"Hi Francesco—we're incredibly sorry to hear about your experience with Stripe so far. We'd be happy to take a closer look at any ongoing issues you may be facing. Please feel free to email us directly at heretohelp@stripe.com using the same email address associated with your account, and we'll follow up as soon as possible.",1,MISAPPROPRIATION OF ACCOUNT
Best financial services partners for market place.,2023-03-28T15:19:35.000Z,2023-03-28T15:39:36.000Z,"March 27, 2023",AJ,Rated 5 out of 5 stars,"Thanks for your kind words, AJ! We appreciate the wonderful feedback.",1,Best financial services partners for…
"the stripe suspended my account after open new account, they say high risk business and my business is legal with all documents I sent them all document but they decide to close my account",2023-03-28T15:11:24.000Z,2023-03-28T15:23:06.000Z,"March 27, 2023",Mohamed Boulmlef,Rated 1 out of 5 stars,"Hey Mohamed—so sorry to hear about all the trouble you've been encountering. Could you please send a message to heretohelp@stripe.com with ""Trustpilot"" in the email title? We want to look at your case and see what we can do to help.",4,the stripe suspended my account after…
 ,2023-03-28T14:36:02.000Z,2023-03-28T14:57:25.000Z,"March 10, 2023",Evans,Rated 5 out of 5 stars,Hi Evans. We appreciate the nice review and kind words!,17,Excellent help desk
Wouldnt recommend stripe. Their plug in doesnt support FPX and you need to pay to get it. Other providers gives a plug in that works for all. Also rates are super high,2023-03-28T14:06:27.000Z,2023-03-28T14:54:03.000Z,"March 27, 2023",PS,Rated 1 out of 5 stars,"Hi there—We have noted your feedback. If there's anything we can help with, please email us at heretohelp@stripe.com.",1,Wouldnt recommend stripe
Useless staff disgusting i must say they have no knowledge and just provide an awful service,2023-03-28T14:03:45.000Z,2023-03-28T14:23:24.000Z,"March 27, 2023",Anurag G,Rated 1 out of 5 stars,Hi Anurag—we're sorry to hear about your poor experience. Please write to us at heretohelp@stripe.com and we'll be happy to take another look into the issue for you.,1,Useless staff disgusting i must say…
 ,2023-03-28T08:07:26.000Z,2023-03-28T08:19:44.000Z,"March 28, 2023",Xavier McGettigan,Rated 1 out of 5 stars,"Hi Xavier. We would like to understand the pain points of our services and offer some support to help you. If you don't mind, please email us at heretohelp@stripe.com with more details, and we will be happy to assist you!",2,an absolute pain in the neck
The worst payment processing company on the market. Holding money from us for 120 days because they decided to completely ignore the true nature of our business. Asked multiple times for funds to be released and they ignored. Awful company.,2023-03-27T18:31:36.000Z,2023-03-28T08:26:05.000Z,"March 23, 2023",bespoke funding,Rated 1 out of 5 stars,"Hi there, we're incredibly sorry the experience has been less than positive here. We'd like to take a second look at your account from our end. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",1,AVOID AT ALL COSTS!
Disgusting service. No customer service at all and read from a script. They want to record your call but you’re not allowed to record the call yourselves which rings alarm bells. Avoid this disastrous card payment,2023-03-25T16:16:11.000Z,2023-03-26T15:21:40.000Z,"March 25, 2023",Mick & Lynn,Rated 1 out of 5 stars,"Hi there—we're incredibly sorry to hear about your experience with Stripe so far. We'd be happy to take a closer look at any ongoing issues you may be facing. Please feel free to email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",3,Disgusting service
"Terrible. They legit blacklist you from contacting support once they randomly close your account for no reason. They also prevent you from initiating any refund to the customer by the restriction, which is so ridiculous. Do not use stripe as a payment processor. Your fund will be randomly locked one morning and banned for a false or unclear reason. When you try to contact them, they will either ignore you or blacklist you. There are many other alternatives you can use instead of the stripe. Message me back for any evidence or questions you might want from me.",2023-03-25T02:07:44.000Z,2023-03-25T12:26:30.000Z,"March 24, 2023",Vault,Rated 1 out of 5 stars,Hi Jun—we're happy to take another look at your account. Please send us an email at heretohelp@stripe.com and we'll investigate.,2,Terrible
"Stripe have decided to put all of our funds on hold - we run a legitimate advertising agency which was recently started and have done NOTHING wrong... After we decided to start taking a few payments, they decided to close the account WITHOUT letting us refund any customers. We had to resort to asking the customers to chargeback on all of the payments to prevent any further issues and it genuinely disrupted our new start-up business (around £5000 was held) and then we had to refund all of the customers through them opening a dispute.",2023-03-24T20:12:55.000Z,NA,"March 07, 2023",Kian Khosravi,Rated 1 out of 5 stars,NA,1,Stripe have decided to put all of our…
"If I could give no stars I would. Stripe stole my money saying they thought there was fraudulent activity and refunded my customers (who bought my product). Totally did not listen. I got blocked after a customer gave me the wrong credit number twice and on the third time it went through. So so bad... I'm so angry. You will see that Stripe has put a reply to contact them which I had already done multiple times. Stripe just keeps looping around their replies about investigating without looking at the evidence, not listening or looking at the evidence. This has been happening all week. I have contacted FiNCEN in the US who keeps an eye on these companies and suggested they look at all the recent complaints saying the same thing",2023-03-24T19:09:37.000Z,2023-03-24T10:27:05.000Z,"March 23, 2023",Robyn Patterson,Rated 1 out of 5 stars,Hi Robyn. We understand your frustration and would like to review your account. Please email us at heretohelp@stripe.com using the same email address associated with your account. ,5,If I could give no stars I would
Warning ⚠️ ⚠️ ⚠️ ⚠️ all new business or new sole trader ,2023-03-23T23:49:34.000Z,2023-03-24T10:24:27.000Z,"March 23, 2023",Thao Nguyen,Rated 1 out of 5 stars,"Hi, we understand how reserves aren't ideal for your business. We establish a reserve to help ensure funds are on hand to cover future refunds or disputes if a business does not have enough funds in its Stripe balance. We'd be happy to take another look at this reserve for you. Just email us at heretohelp@stripe.com using the same email address associated with your account.",2,Warning ⚠️ ⚠️ ⚠️ ⚠️ all new business or…
They closed my account after verification and first payments. I verified my store and personal verification. I got new first payments then they decided to close it. I don't know what is the reason. I sell clothes on by shopify platform. Don't use Stripe they will not answer on support. Bad service and no customer services.,2023-03-23T15:14:38.000Z,2023-03-23T16:30:59.000Z,"March 23, 2023",Albert Thomas,Rated 1 out of 5 stars,"Hey, we're incredibly sorry the experience has been less than positive here. We'd like to take a second look at your account from our end. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",14,They closed my account after…
Similar to another reviewer the first time we used stripe with a customer the funds were taken back citing fraud. We provided all our evidence for provided services and invoicing however the seller has no protection. Have vowed to never use again.,2023-03-23T21:13:01.000Z,2023-03-23T00:20:05.000Z,"March 22, 2023",Andrea,Rated 1 out of 5 stars,Hey there Andrea—so sorry to hear about any disputes on your account. ,22,No protection to seller
"A year ago, I used stripe for the first time, and within 10 days they closed my account without reason, and said that the funds were withheld for 120 days, but more than 300 days have passed, and they still refused to release the funds In exchange, I asked them to return it to me many times during the period, but their team was terrible, and they didn’t reply to my emails. I tried many ways but didn’t get our money. Stripe will cheat the merchant’s funds, which is too much",2023-03-22T11:44:21.000Z,2023-03-22T19:44:00.000Z,"March 22, 2023",Jared Violet,Rated 1 out of 5 stars,Hey Jared—so sorry to hear about all of the trouble you've been encountering. ,1,"stripe, scammed my funds"
"We are a non-profit company that has had their payments processed through Stripe using the Zeffy platform.  Stripe has not processed our payments for over one month and has not responded to requests for assistance from Zeffy.  It is extremely frustrating that Stripe has no urgency to process our payment to our Bank and is holding onto our money for over one month.  This is an ongoing ordeal that has been going on for six weeks.  Stripe has over $5,400.00 of our non-profit monies.",2023-03-22T04:05:37.000Z,2023-03-22T19:40:57.000Z,"March 21, 2023",SAMQG,Rated 1 out of 5 stars,"So sorry to hear about all of the trouble—we definitely want to take a look and see what we can do to help. Can you please email heretohelp@stripe.com with the words ""Trustpilot"" in the subject line? Thank you.",1,We are a non-profit company that has…
Excellent customer service! A quick call back (within one minute) and my worries were all dispelled. Thank you Andrea!,2023-03-22T02:37:55.000Z,2023-03-22T19:38:36.000Z,"March 20, 2023",Stephen Araza,Rated 5 out of 5 stars,Thank you so much for the excellent 5 star review Stephen. We're so glad to hear about your positive support experience—thanks for using Stripe!,3,Excellent customer service
"Can not verify, keep asking for Business ID, I already sent the original business document, what is Business ID? There is no such thing as Business ID in my country. ",2023-03-21T10:27:02.000Z,2023-03-21T12:35:08.000Z,"March 21, 2023",Alex,Rated 1 out of 5 stars,"Hi Alex. We'd like to help you with that. Please email us directly at heretohelp@stripe.com using the same email address associated with your account, and we will get back to you ASAP.",127,Can not verify and no support
It has been over 5 days since I requested refund from Stripe. I sent an email but no reply yet. ,2023-03-20T21:28:41.000Z,2023-03-21T12:40:45.000Z,"March 08, 2023",Kenneth,Rated 1 out of 5 stars,"Hi Kenneth. Stripe submits refunds to your customer's bank immediately. Depending on the bank's processing time, it can take anywhere from 5-10 business days to show up on your customer's bank account. If the refund has an ARN, you can share it with your customer to help them trace the refund at their bank. You can find the ARN on the payment detail under ""Timeline"". ",2,It has been over 5 days since I…
"I used stripe for 3 years, in these 3 years at least 5 times some clients that bought a coat from our store opened a dispute to take the money back because they claimed that the transaction was fraud. Stripe always decided on favour of the buyer and send them the money back even though they never return a product to me. So I lost my money and didn't get the product back. Stripe is a scam!!!",2023-03-20T11:42:53.000Z,2023-03-20T14:04:20.000Z,"March 19, 2023",Konstantinos Siampanopoulos ,Rated 1 out of 5 stars,"Hi there—we certainly understand your frustration when it comes to disputes but there seems to be some confusion over Stripes involvement. A dispute is created through the customers bank. Once Stripe is notified by the bank, we're required to hold the funds. We do help our users upload evidence which a customers bank can review, but we have no involvement with the final decision. That lies solely with the bank. ",6,STRIPE CANT PROTECT SELLERS ME FROM FRAUD
I have been using them for two years and it works every time.,2023-03-19T20:56:18.000Z,2023-03-19T21:27:41.000Z,"March 13, 2023",Charlene,Rated 5 out of 5 stars,"We're thrilled to hear about your experiences thus far. Thanks for the review, Charlene!",1,I have been using them for two years…
"Started using after Paypal dissapointed su much. Not a perfect payment bank/method, but definitely better than Paypal.",2023-03-19T20:08:22.000Z,2023-03-19T20:58:38.000Z,"March 19, 2023",LinasIrIrma Danmai,Rated 4 out of 5 stars,We appreciate the review!,2,Better than worldwide brands/banks
